1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;1
12;2
13;3
14;4
15;5
16;6
17;7
18;8
19;9
20;10
21;1
22;2
23;3
24;4
25;5
26;6
27;7
28;8
29;9
30;10
31;1
32;2
33;3
34;4
35;5
36;6
37;7
38;8
39;9
40;10
41;1
42;2
43;3
44;4
45;5
46;6
47;7
48;8
49;9
50;10
51;1
52;2
53;3
54;4
55;5
56;6
57;7
58;8
59;9
60;10
61;1
62;2
63;3
64;4
65;5
66;6
67;7
68;8
69;9
70;10
71;1
72;2
73;3
74;4
75;5
76;6
77;7
78;8
79;9
80;10
81;1
82;2
83;3
84;4
85;5
86;6
87;7
88;8
89;9
90;10
91;1
92;2
93;3
94;4
95;5
96;6
97;7
98;8
99;9
100;10
